"Register","Sign up"
"Shoping Cart","Shoping Cart"
"item","item"
"items","items"
"You may also be interested in the following product(s)","You Might Also Like"
"Previous Product","Previous Product"
"Next Product","Next Product"
"SKU:","SKU:"
"Add Tags","Add"
"Read more","Read more"
"Previous Post","Previous Post"
"Next Post","Next Post"
"Sign Up for Our Newsletter","Sign up fot special promotion"
"Sign up for our newsletter","Enter your email"
"Sign up for your email ...","Enter your email"
"Add to Wishlist","Wishlist"
"Add to Compare","Compare"
"Additional Information","Additional"
"Not Now","Agora Ṇo"